label,aliases,category,maker,hrc,retention,sharpening,corrosion,chip,c_pct,cr_pct,mo_pct,v_pct,w_pct,co_pct,mn_pct,si_pct,other_comp,description,available
SKD,skd,Semi-stainless,JIS,62–64,90,50,60,70,1.40–1.60%,11.00–13.00%,0.80–1.20%,0.70–1.00%,,,0.20–0.50%,0.40%,,"High-carbon, high-chromium tool steel. ~12% Cr offers meaningful corrosion resistance. High carbide volume delivers excellent edge retention.",true
HAP-40,"hap-40,hap40,hap 40",Semi-stainless,Hitachi,66–67,100,40,50,80,1.27%,4.00%,5.00%,3.00%,6.00%,8.00%,0.30%,0.45%,,"High-speed powder tool steel. W, Mo, V and Co push hardness to 66–67 HRC. Outstanding edge retention. Requires diamond or CBN stones.",true
AUS-8,"aus-8,aus8,aus 8",Stainless,Aichi,57–59,50,80,70,80,0.70–0.75%,13.00–14.50%,0.10–0.30%,0.10–0.26%,,,0.50%,1.00%,Ni 0.49%,"Reliable mid-range Japanese stainless. Balanced performance, easy to sharpen, forgiving of rough use, good corrosion resistance.",true
MV (Molybdenum Vanadium),mv (molybdenum vanadium),Stainless,Various,56–58,40,90,80,90,0.60–0.70%,13.00–14.00%,0.50–1.00%,0.10–0.20%,,,,,,Basic stainless designation. Lower carbon limits edge retention but delivers excellent toughness and corrosion resistance. Very easy to sharpen.,true
Swedish Steel,"swedish steel,sweden",Stainless,Sandvik,60–62,60,80,70,80,0.65–0.70%,13.50%,0.10%,,,,0.65%,0.40%,,High-purity Scandinavian stainless (19C27). Fine microstructure allows sharpness comparable to carbon steels. Consistent quality.,true
VG-1,"vg1,vg-1,vg 1",Stainless,Takefu,57–60,50,80,80,80,0.60–0.75%,14.00–15.00%,0.10%,,,,0.50%,0.40%,,Entry-level VG series by Takefu. Good corrosion resistance and easy to sharpen. Low-maintenance for everyday use.,true
VG-5,"vg5,vg-5,vg 5",Stainless,Takefu,59–61,60,70,80,70,0.80–0.90%,14.00–15.00%,0.20%,0.10–0.20%,,,0.50%,0.50%,,Mid-range VG series between VG-1 and VG-10. Good corrosion resistance. Easier to sharpen than VG-10.,true
Ginsan / Silver #3,"ginsan,silver #3,gin san,gingami #3,silver steel #3,silver steel 3,silver 3,gin-san",Stainless,Hitachi,61–62,70,80,80,70,0.95–1.10%,13.00–14.50%,,,,,0.50–0.70%,0.20–0.50%,"P ≤0.025%, S ≤0.004%",Carbon steel performance with stainless convenience. Achieves sharpness close to White #2. Easier to sharpen than VG-10. Preferred by many professional chefs.,true
Chromax,chromax,Stainless,Hitachi,61–63,60,80,80,80,0.70–0.75%,13.50%,0.10%,,,,0.50%,0.40%,,Hitachi stainless emphasising corrosion resistance and ease of sharpening. Good for humid environments.,true
ATS-34,ats34,Stainless,Hitachi,60–62,70,60,70,70,1.05%,14.00%,4.00%,,,,0.40%,0.35%,,Premium conventional stainless equivalent to 154CM. Gold standard before PM steels. High Mo improves toughness and corrosion resistance.,true
VG-10,"vg-10,vg10,vg 10",Stainless,Takefu,60–62,70,60,80,70,1.00%,14.50–15.50%,0.90–1.20%,0.10–0.30%,,1.30–1.50%,0.50%,0.40%,,Most widely-used premium Japanese stainless. Cobalt gives better edge retention than composition alone suggests. The benchmark for accessible high-performance stainless.,true
VG-MAX,vg-max,Stainless,Takefu,60–62,80,60,80,70,1.00%,14.50–15.50%,0.90–1.20%,0.30%,3.00%,2.50%,0.50%,0.50%,,Upgraded proprietary VG-10 for Shun. Higher Co and V improve edge retention.,true
AUS-10,"aus-10,aus10,aus 10",Stainless,Aichi,60–62,70,60,80,80,0.95–1.10%,13.00–14.50%,0.10–0.30%,0.10–0.27%,,,0.50%,1.00%,Ni 0.49%,Premium AUS series. Higher C and V than AUS-8 improve edge retention. Nickel adds toughness.,true
COSP (Cobalt Special),cosp (cobalt special),Stainless,Takefu,62–64,80,60,70,80,0.80–0.90%,13.00–14.00%,0.50%,0.20%,,3.00–5.00%,0.50%,,,Cobalt-enhanced stainless. High Co allows greater hardness improving edge retention beyond what carbon content suggests.,true
ZA-18,za-18,Stainless,Takefu,63–65,80,50,90,70,1.00%,18.00%,1.30%,0.20%,,1.50%,0.40%,0.40%,,18% Cr gives near-immune rust resistance. Ideal for humid professional environments. Cobalt improves hardness.,true
SG2 / R2,"sg2,r2,sg-2,sg 2",Stainless PM,Takefu / Kobelco,62–64,90,50,80,80,1.25%,14.00%,2.30%,1.80%,,1.50%,0.40%,0.50%,"P ≤0.030%, S ≤0.030%",Benchmark powder metallurgy stainless steel. Uniform carbide distribution delivers exceptional edge retention. The endgame steel for most professionals.,true
VG XEOS,vg xeos,Stainless PM,Takefu,63–65,90,50,80,70,1.20–1.40%,14.00–15.00%,2.00–2.50%,1.50–2.00%,0.11%,1.00%,0.40%,0.25–0.30%,,Advanced PM stainless bridging VG-10 and SG2. High V and Mo push edge retention well beyond VG-10.,true
SRS-13,srs-13,Stainless PM,Nachi,63–65,90,40,80,80,1.30%,13.50%,2.00%,3.00%,1.25%,1.00%,0.50%,0.30%,,PM stainless by Nachi-Fujikoshi. High V (3%) produces fine vanadium carbides for exceptional retention.,true
FAXR2,faxr2,Stainless PM,Takefu,63–64,90,40,80,80,1.30%,14.00%,2.50%,2.00%,,1.50%,0.40%,0.40%,,PM stainless close to SG2. High V and Mo for excellent wear resistance.,true
SPG STRIX,spg strix,Stainless PM,Takefu,63–64,90,40,80,80,1.40%,14.00%,2.00%,2.40%,,1.00%,0.40%,0.40%,,Premium PM stainless at or above SG2. Very high V carbide content for exceptional edge retention.,true
ZDP-189,"zdp-189,zdp189,zdp 189",Stainless PM,Hitachi,67–69,100,20,70,50,3.00%,20.00%,1.40%,0.10%,0.60%,,0.50%,0.40%,,The extreme end of knife steel. 3% C and 20% Cr push hardness to 67–69 HRC. Very brittle — expert-only.,true
